original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
works\photograph_and_videos.jpg,works\preview\photograph_and_videos.webp,2275,1279,354.5,1200,675,66.5,81.24,SKIPPED_UP_TO_DATE
works\paintings.jpg,works\preview\paintings.webp,3530,1869,2856.1,2000,1059,281.18,90.16,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅰ\main-1.png,installations-2026\weishan-memory-ⅰ\preview\main-1.webp,2563,1680,4596.9,1600,1049,98.72,97.85,SKIPPED_UP_TO_DATE
works\workshops.jpg,works\preview\workshops.webp,3512,3512,3054.46,2000,2000,300.78,90.15,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅰ\part-4.jpg,installations-2026\weishan-memory-ⅰ\preview\part-4.webp,4032,3024,4868.47,2000,1500,203.52,95.82,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅱ\main-1.jpg,installations-2026\weishan-memory-ⅱ\preview\main-1.webp,2692,4264,1858.18,1263,2000,333.9,82.03,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅰ\part-3.jpg,installations-2026\weishan-memory-ⅰ\preview\part-3.webp,1280,960,90.45,800,600,27.38,69.73,SKIPPED_UP_TO_DATE
works\installations.jpg,works\preview\installations.webp,4032,3024,2611.75,2000,1500,260.36,90.03,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅰ\part-1.jpg,installations-2026\weishan-memory-ⅰ\preview\part-1.webp,3024,4032,1933.67,1500,2000,164.84,91.48,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅱ\part-1.jpg,installations-2026\weishan-memory-ⅱ\preview\part-1.webp,2172,3320,689.46,1308,2000,129.06,81.28,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅰ\part-2.jpg,installations-2026\weishan-memory-ⅰ\preview\part-2.webp,4032,3024,2643.43,2000,1500,159.08,93.98,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅱ\part-2.jpg,installations-2026\weishan-memory-ⅱ\preview\part-2.webp,2105,3771,712.86,1116,2000,90.24,87.34,SKIPPED_UP_TO_DATE
installations-2026\weishan-memory-ⅱ\part-3.jpg,installations-2026\weishan-memory-ⅱ\preview\part-3.webp,2152,3347,426.27,1286,2000,42.99,89.91,SKIPPED_UP_TO_DATE
